Given_ID_Clean,Presumed_ID_Clean,uncertain
pennock,pennock,
peneaukee,pewaukee,
penankee,pewaukee,
pelham sweet,pelham sweet,
peleg,,?
pefect,perfect,
peewuakee,pewaukee,
peewaukie,pewaukee,
peewaukee,pewaukee,
peewaukee,pewaukee,
peewanskee,pewaukee,
peewankee,pewaukee,
peerless,peerless,
pecks pleasant,peck pleasant,
peckard baldwin,,?
peck's pleasure,peck pleasant,
peck's pleasant,peck pleasant,
peck's pleasant,peck pleasant,
peck's pleasant,peck pleasant,
peck's favorite,peck pleasant,
peck's,peck pleasant,
peck,peck pleasant,
peawaukee,pewaukee,
peawaukee,pewaukee,
peawalkie,pewaukee,
peawakee,pewaukee,
pearmains,blue pearmain,
pearmain,blue pearmain,
pearmain,blue pearmain,
pearl,,?
pear sye,,?
pear russet,,?
pear maine sweet,,?
pear apple,,?
peanwam,,?
peah apple,peach of montreal,
peachblow,peachblow,
peach tomato,,?
peach sweet,,?
peach blow,peachblow,
peach blossom,,?
peach bloom,,?
peach apple,peach of montreal,
peach apple,peach of montreal,
peach,,?
peabody's sweet,peabody sweet,
peabody greening,peabody,
peabody early,peabody early,
pawaka,pewaukee,
patty sweet,,?
patterson sweet,,?
patent baldwin,,?
passe colmar,,?
parson's sweet,parson,
parlin,parlin,
parlin,parlin,
parker sweet,parker sweet,
paragon,paragon,
paradise sweet,winter sweet paradise,
paradise d'autumn,,?
panelopy,,?
palmer,,?
pairmain,blue pearmain,
page,page,
page,page,
packer,,?
packard,,?
oxford russet,,?
oxford beauty,,?
oxford,black oxford,
oxford,black oxford,
ox-heart,,?
our favorite,,?
ounce pippin,,?
oregon sweet,oregon sweet,
orchard sweet,,?
orange sweet,orange sweet,
orange sweet,orange sweet,
orange spy,,?
orange spick,orange speck,
orange speck,orange speck,
orange porter,porter,
orange pippin,orange pippin,
orange pearmain,,?
orange greening,blenheim orange,
orange crab,orange crab,
orange apple,,?
orange,,?
orandaga,onondaga,
oplacent,opalescent,
opalescent,opalescent,
ontario,ontario,
onondago,onondaga,
onondaga,onondaga,
oliver sentinal,oliver,
oldenburg,duchess of oldenburg,
old-fashioned cathead,,?
old-fashioned baldwin,baldwin,
old sour apple,,?
old fashioned russet,,?
old fashioned greening,rhode island greening ,
ohio pippin,ohio pippin,
october sweet,,?
ocean,,?
oak,,?
noyes,noyes,
noyes,noyes,
nowest greening,northwest greening,
northwestern greening,northwest greening,
northwestern,northwest greening,
northwest greening,northwest greening,
northfield beauty,northfield beauty,
northern sweet,northern sweet,
northern spy,northern spy,
northern spy,northern spy,
northern bell,northern bell,
northern,,?
north west greening,northwest greening,
north star,dudley winter,
north star,dudley winter,
noroton greening,northwest greening,
norman sweet,,?
norman,,?
nonsuch,hubbardston nonesuch,
nonsuch,hubbardston nonesuch,
nonpareil,,?
nonesuch,hubbardston nonesuch,
nonesuch,hubbardston nonesuch,
nonesuch,hubbardston nonesuch,
nonesuch,hubbardston nonesuch,
none-such,hubbardston nonesuch,
none-such,hubbardston nonesuch,
none-so-good,,?
none such,hubbardston nonesuch,
none other,,?
nolon apple,,?
nodhead,jewett's fine red,
nodhead,jewett's fine red,
nodhead,jewett's fine red,
nodhead,jewett's fine red,
nodheaad,jewett's fine red,
nod-head,jewett's fine red,
nod head,jewett's fine red,
nod head,jewett's fine red,
nod head,jewett's fine red,
nod head,jewett's fine red,
no. star,dudley winter,
no. spy,northern spy,
no-name sweet,,?
no name,,?
nine oz.,deane,
nine ounce,deane,
nine ounce,deane,
niggerhead,,?
nickerson,nickerson,
nickerson,nickerson,
nickajack,nickerjack,
nice,,?
newtown pippin,,?
newtown pippin,,?
newton sweeting,,?
newton sweet,,?
newton pippin,,?
newton pippin,,?
newbury sweet,newbury sweet,
newark pippin,newark pippin,
new york sweet,new york sweet,
new york stripe,,?
new york stark,,?
new york russet,golden russet of western new york,
new york russet,golden russet of western new york,
new york pride,,?
new york pippins,,?
new york pippin,,?
new york nodhead,,?
new york greening,,?
new york geneting,,?
new york fall pippin,,?
new york cathead,,?
new york bower,,?
new york baldwin,,?
new york,,?
new jersey pippin,,?
new gloucester ball,,?
new brunswick greening,new brunswick greening,
nelson,nelson,
nelly sye,,?
nature,,?
native sweet,,?
native snow,,?
native russet,,?
native greening,,?
native bellflower,,?
national ash,,?
nathan spy,northern spy,
nason,,?
napoleon,napoleon,
napolean,napoleon,
naples crab,,?
nancy,,?
naked limb greening,fall harvey,
naked limb greening,fall harvey,
n. y. sweeting,,?
n. y. sweet,,?
n. y. stripe,,?
n. y. spy,,?
n. y. seedling,,?
n. y. russett,golden russet of western new york,
n. y. russet,golden russet of western new york,
n. y. porter,,?
n. y. pippin,,?
n. y. nameless,,?
n. y. jinctuer,,?
n. y. harvey,,?
n. y. greening,,?
n. y. golden sweet,,?
n. y. geneting,,?
n. y. crab,,?
n. y. blush,,?
n. y. baldwin,,?
n. y. apple,,?
n. w. greening,northwest greening,
n. t. greening,,?
n. spy,northern spy,
n. j. sweet,,?
n. j. pippin,,?
n. h. sweet,,?
n. g. russet,golden russet of western new york,
n. e. greening,,?
n y stripe,,?
n e beauty,,?
myrick,,?
mutton apple,,?
munster,,?
munson's sweet,munson sweet,
munson sweet,munson sweet,
munson sweet,munson sweet,
munson early,,?
munson,munson sweet,
mun's sweet,munson sweet,
mt. sweet,,?
mt. greening,,?
mountain sweet,,?
mountain strawberry,,?
mount vernon,,?
mother sweet,,?
mother of pearl,,?
mother apple,mother,
