County,Fair,Year,IsApple,Given_ID,Given_ID_Clean,Alt_ID,Alt_ID_Clean,Presumed_ID,Presumed_ID_Clean,Uncertain
Knox,Knox Co.,1886,True,Yellow Bellflower,yellow bellflower,Yellow Bell Flower,yellow bell flower,Yellow Bellflower,yellow bellflower,False
Knox,Knox Co.,1887,False,(Pear) Barltett,barltett,,,,,False
Knox,Knox Co.,1887,False,(Pear) Bell Lucrative,bell lucrative,,,,,False
Knox,Knox Co.,1887,False,(Pear) Bonne de Jersey,bonne de jersey,(Pear) Louise Bonnie de Jersey,(pear) louise bonnie de jersey,,,False
Knox,Knox Co.,1887,False,(Pear) Buerre de Anjou,buerre de anjou,(Pear) Beaurree D'Anjou,(pear) beaurree d'anjou,,,False
Knox,Knox Co.,1887,False,(Pear) Clapps Favorite,clapps favorite,,,,,False
Knox,Knox Co.,1887,False,(Pear) Duchess,duchess,,,,,False
Knox,Knox Co.,1887,False,(Pear) Duchesse D'Angouleme,duchesse d'angouleme,,,,,False
Knox,Knox Co.,1887,False,(Pear) Howell,howell,,,,,False
Knox,Knox Co.,1887,False,(Pear) Orange,orange,,,,,False
Knox,Knox Co.,1887,False,(Pear) Pratt,pratt,,,,,False
Knox,Knox Co.,1887,False,(Pear) Rockland Beauty,rockland beauty,,,,,False
Knox,Knox Co.,1887,False,(Pear) Seckel,seckel,,,,,False
Knox,Knox Co.,1887,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1887,True,Alexander,alexander,,,Alexander,alexander,False
Knox,Knox Co.,1887,True,Alexandria,alexandria,,,Alexander,alexander,False
Knox,Knox Co.,1887,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1887,True,Ben Davis,ben davis,,,Ben Davis,ben davis,False
Knox,Knox Co.,1887,True,Blue Pearmain,blue pearmain,,,Blue Pearmain,blue pearmain,False
Knox,Knox Co.,1887,True,Early Strawberry,early strawberry,,,Early Strawberry,early strawberry,False
Knox,Knox Co.,1887,True,Fall Geneting,fall geneting,,,Fall Jenneting,fall jenneting,False
