County,Fair,Year,Event,Location,Source,Page,Notes
york,york co. fair,1865.0,york co. fair,saco,maine democrat,2,description
york,york co. fair,1871.0,york co. fair,,maine democrat,2,description
york,york co. fair,1874.0,york co. fair,,lewiston evening journal,2,description
york,york co. fair,1876.0,york co. fair,,portland daily press,3,description
york,york co. fair,1888.0,york co. fair,,biddeford daily journal,3,description
york,york co. fair,1888.0,york co. fair,,biddeford daily journal,3,premiums
york,york co. fair,1889.0,york co. fair,saco,biddeford daily journal,3,premiums
york,york co. fair,1880.0,york co. fair,biddeford,the union and journal,1,description
york,york co. fair,1850.0,york co. fair,south berwick,the union,2,description
washington,w. washington co. ag. soc,1905.0,west washington ag. soc.,cherryfield,lewiston evening journal,2,premiums
franklin,weld,1907.0,aurora grange fair,weld,lewiston evening journal,2,premiums
franklin,franklin co. fair,1870.0,franklin county fair,farmington,lewiston evening journal,1,description
franklin,franklin co. fair,1877.0,franklin county fair,farmington,lewiston evening journal,4,description
franklin,franklin co. fair,1883.0,franklin county fair,farmington,lewiston evening journal,4,description
franklin,franklin co. fair,1883.0,franklin county fair,farmington,maine farmer,1,premiums
franklin,franklin co. fair,1884.0,franklin county fair,farmington,lewiston evening journal,4,premiums
franklin,franklin co. fair,1885.0,franklin county fair,farmington,lewiston saturday journal,3,description
franklin,franklin co. fair,1885.0,franklin county fair,farmington,maine farmer,3,description
franklin,franklin co. fair,1886.0,franklin county fair,farmington,lewiston evening journal,4,premiums
franklin,franklin co. fair,1886.0,franklin county fair,farmington,maine farmer,1,description
